subset_name,fold,set_role,row_id,curve_id,source_file,temperature_C
primary_mma_flow_conversion,1,train,row_00001,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00002,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00003,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00004,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00005,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00006,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00007,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00008,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00009,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00010,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00011,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00012,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00013,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00014,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00015,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00016,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00017,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
primary_mma_flow_conversion,1,train,row_00018,MMA_fig1a__T60,Data_extracted_MMA_STY/MMA_fig1a.xlsx,60.0
